name,lat,lon,rain_mm
임실,35.6329664,127.2898846,1347.9
장동,36.4047518,127.4426929,1248.5
장성,35.3001204,126.7796823,1374.5
장수,37.4833331,127.0346947,1529.9
장흥,37.7186862,126.9416098,1433.0
전주,35.8500537,127.1623649,1280.6
정선군,37.380456,128.6609485,1126.6
정읍,35.5757734,126.8419169,1292.9
정자,37.3666515,127.1084366,1257.1
제주,33.4887737,126.4987083,1520.7
제천,37.1270743,128.2059637,1275.0
조선대,35.1412134,126.9303491,1339.6
증평,36.778052,127.583969,1163.7
진도군,34.4867515,126.2629264,1392.8
진부령,38.265012,128.3590278,1820.5
진안,35.1846415,128.3528872,1381.2
진주,35.1501201,128.1183494,1537.1
진천,35.8138089,128.5226535,1227.4
창녕,34.9204533,127.3871993,1187.0
창원,35.2581253,128.6070336,1436.2
천안,36.8102804,127.14684,1178.8
철원,38.2109138,127.2116357,1308.0
청도,35.6398546,128.7461654,1229.0
청송군,36.4358,129.0571,967.2
청양,36.489543,127.2563712,1310.8
청주,36.6471132,127.3923613,1194.1
추자도,33.9592804,126.3005835,1134.3
추풍령,36.2128103,127.9963927,1184.5
춘천,37.8845604,127.716664,1295.4
충주,36.9752571,127.9080675,1168.0
칠곡,37.0409756,127.1592622,1089.0
태백,37.1760942,128.9842311,1273.9
태안,36.8686492,126.2799776,1130.3
통영,34.7748326,127.7241698,1664.5
파주,37.8150577,126.7924283,1196.3
평창,37.5619574,128.4300343,1166.2
평택,36.9908233,127.0853183,1106.3
포천,38.0079499,127.3356714,1272.4
포항,36.0712333,129.3426784,1172.5
풍암,35.1242195,126.8751119,1357.8
하남,35.1727132,126.7974487,944.8
하동,35.0638799,127.7616118,1770.8
함안,35.2891113,128.3884879,1322.3
함양군,35.5204145,127.7252966,1325.1
함평,35.0236844,126.5390794,1401.5
합천,35.1770278,128.8152507,1394.9
해남,34.6369981,126.6372997,1269.3
해운대,35.1629,129.1638,1582.7
홍북,36.6449088,126.6970149,1229.6
홍천,37.6983221,127.891168,1153.0
화성,37.5660872,127.0661533,1097.5
화순,35.0513137,126.9631644,1372.1
화천,37.3412869,127.9701514,1176.7
횡성,37.4828074,128.0104835,1175.2
흑산도,34.6608507,125.4060994,1155.4
